Time,Machine A,Machine B,Detector α 1,Detector α 2,Detector β 1 ,Detector β 2,Diverter ψ 1,Diverter ψ 2,Detector δ 1,Detector δ 2
hh:mm:ss,RPM,RPM,,,,,,,,
03:24:14,6536,8285,1,1,1,1,1,1,1,1
03:24:19,6536,8285,1,1,1,1,1,1,1,1
03:24:24,6536,8285,1,1,1,1,1,1,1,1
03:24:29,6536,8285,1,1,1,1,1,1,1,1
03:24:34,6536,8285,1,1,1,1,1,1,1,1
03:24:39,6536,8285,1,1,0,1,1,1,1,1
03:24:44,6536,8285,1,1,1,1,1,1,1,1
03:24:49,6536,8285,1,1,1,1,1,1,1,1
03:24:54,6536,8285,1,1,1,1,1,1,0,1
03:24:59,6536,8285,1,1,1,1,1,1,0,1
03:25:04,6536,8285,1,1,1,1,1,1,1,1
03:25:09,6536,8285,1,1,1,1,1,1,1,1
03:25:14,6536,8285,1,1,1,1,1,1,1,1
03:25:19,6536,8285,1,1,1,1,1,1,1,1
03:25:24,6536,8285,1,1,1,1,1,1,1,1
03:25:29,6536,8285,1,1,1,1,1,1,1,1
03:25:34,6536,8285,1,1,1,1,1,1,1,1
03:25:39,6536,8285,1,1,1,0,1,1,1,1
03:25:44,6536,8285,1,1,1,0,1,1,1,1
03:25:49,6536,8285,1,1,1,1,1,1,1,1
03:25:54,6536,8285,1,1,1,1,1,1,1,0
03:25:59,6536,8285,1,0,1,1,1,1,1,0
03:26:04,6536,8285,1,0,1,1,1,1,1,1
03:26:09,6536,8285,1,1,1,1,1,1,1,1
03:26:14,6536,8285,0,1,1,1,1,1,1,1
03:26:19,6536,8285,0,1,1,1,1,1,1,1
03:26:24,6536,8285,1,1,1,1,1,1,1,1
03:26:29,6536,8285,1,1,1,1,1,1,1,1
03:26:34,6536,8285,1,1,1,1,1,1,1,1
03:26:39,6536,8285,1,1,1,1,1,1,1,1
03:26:44,6536,8285,1,1,1,1,1,1,1,1
03:26:49,6536,8285,1,1,1,1,1,1,1,1
03:26:54,6536,8285,1,1,1,1,1,1,1,1
03:26:59,6536,8285,1,1,1,1,1,1,1,1
03:27:04,6536,8285,1,1,1,1,1,1,1,1
03:27:09,6536,8285,1,1,1,1,1,1,1,1
03:27:14,6536,8285,1,1,0,1,1,1,1,1
03:27:19,6536,8285,1,1,1,1,1,1,1,1
03:27:24,6536,8285,1,1,1,1,1,1,1,1
03:27:29,6536,8285,1,1,1,1,1,1,0,1
03:27:34,6536,8285,1,1,1,1,1,1,0,1
03:27:39,6536,8285,1,1,1,1,1,1,1,1
03:27:44,6536,8285,1,1,1,1,1,1,1,1
03:27:49,6536,8285,1,1,1,1,1,1,1,1
03:27:54,6536,8285,1,1,1,1,1,1,1,1
03:27:59,6536,8285,1,1,1,1,1,1,1,1
03:28:04,6536,8285,1,1,1,1,1,1,1,1
03:28:09,6536,8285,1,1,1,1,1,1,1,1
03:28:14,6536,8285,1,1,1,0,1,1,1,1
03:28:19,6536,8285,1,1,1,0,1,1,1,1
